iter	Passed	Remaining
0	46	46839
1	47	23719
2	47	15939
3	48	12069
4	48	9724
5	49	8160
6	49	7039
7	49	6196
8	50	5543
9	50	5021
10	51	4600
11	51	4244
12	51	3946
13	52	3689
14	52	3465
15	53	3268
16	53	3093
17	53	2942
18	54	2803
19	54	2681
20	55	2571
21	55	2473
22	56	2383
23	56	2298
24	56	2219
25	57	2145
26	57	2076
27	58	2014
28	58	1957
29	59	1908
30	59	1857
31	59	1810
32	60	1764
33	60	1721
34	60	1680
35	61	1642
36	61	1607
37	62	1575
38	62	1543
39	63	1523
40	63	1493
41	64	1465
42	64	1437
43	64	1410
44	65	1386
45	65	1362
46	66	1339
47	66	1319
48	66	1298
49	67	1278
50	67	1259
51	68	1241
52	68	1223
53	68	1207
54	69	1194
55	69	1179
56	70	1164
57	70	1149
58	71	1135
59	71	1121
60	71	1107
61	72	1093
62	72	1080
63	73	1069
64	73	1057
65	73	1045
66	74	1033
67	74	1022
68	74	1011
69	75	998
70	75	987
71	75	977
72	76	966
73	76	956
74	76	947
75	77	938
76	77	930
77	77	921
78	78	913
79	78	905
80	79	898
81	79	890
82	79	883
83	80	876
84	80	868
85	81	861
86	81	855
87	81	849
88	82	842
89	82	836
90	83	829
91	83	823
92	83	816
93	84	810
94	84	806
95	85	800
96	85	795
97	85	790
98	86	785
99	86	779
100	86	774
101	87	768
102	87	764
103	88	758
104	88	753
105	88	748
106	89	743
107	89	737
108	89	733
109	90	729
110	90	724
111	90	720
112	91	716
113	91	711
114	91	707
115	92	703
116	92	699
117	93	695
118	93	692
119	93	688
120	94	684
121	94	679
122	94	676
123	95	672
124	95	669
125	95	665
126	96	663
127	96	659
128	97	656
129	97	653
130	98	650
131	98	647
132	98	643
133	99	640
134	99	637
135	99	634
136	100	631
137	100	628
138	101	625
139	101	623
140	101	620
141	102	618
142	102	615
143	103	612
144	103	608
145	103	606
146	103	603
147	104	600
148	104	597
149	104	594
150	105	592
151	105	590
152	106	587
153	106	585
154	106	583
155	107	580
156	107	578
157	107	575
158	108	573
159	108	570
160	108	567
161	109	565
162	109	563
163	110	561
164	110	558
165	110	556
166	111	554
167	111	551
168	111	549
169	112	547
170	112	545
171	112	543
172	113	541
173	113	539
174	113	537
175	114	535
176	114	533
177	114	530
178	115	529
179	115	528
180	116	526
181	116	525
182	117	523
183	117	523
184	118	521
185	118	519
186	119	517
187	119	515
188	119	514
189	120	512
190	120	510
191	121	509
192	121	507
193	121	505
194	122	504
195	122	502
196	122	501
197	123	499
198	123	497
199	124	496
200	124	494
201	124	493
202	125	491
203	125	489
204	125	488
205	126	486
206	126	485
207	127	483
208	127	482
209	127	481
210	128	480
211	129	479
212	129	478
213	129	476
214	130	474
215	130	473
216	130	471
217	131	470
218	131	468
219	131	467
220	132	465
221	132	464
222	132	462
223	133	461
224	133	459
225	133	458
226	134	456
227	134	455
228	134	454
229	135	452
230	135	451
231	136	450
232	136	448
233	136	447
234	137	446
235	137	445
236	137	443
237	138	442
238	138	441
239	138	440
240	139	438
241	139	437
242	140	436
243	140	435
244	140	434
245	141	432
246	141	431
247	141	430
248	142	428
249	142	427
250	142	426
251	143	425
252	143	423
253	143	422
254	144	421
255	144	420
256	145	419
257	145	418
258	145	417
259	146	415
260	146	414
261	146	413
262	147	412
263	147	411
264	147	410
265	148	409
266	148	408
267	149	407
268	149	406
269	149	405
270	150	403
271	150	402
272	150	401
273	151	400
274	151	399
275	151	398
276	152	397
277	152	396
278	153	395
279	153	394
280	153	393
281	154	392
282	154	391
283	154	390
284	155	389
285	155	388
286	155	387
287	156	386
288	156	385
289	157	384
290	157	383
291	157	382
292	158	381
293	158	380
294	158	379
295	159	378
296	159	377
297	159	376
298	160	375
299	160	374
300	160	373
301	161	372
302	161	371
303	162	371
304	162	370
305	162	369
306	163	368
307	163	367
308	163	366
309	164	365
310	164	364
311	165	363
312	165	363
313	165	362
314	166	362
315	166	361
316	167	360
317	167	359
318	168	359
319	168	358
320	169	357
321	169	356
322	169	356
323	170	355
324	170	354
325	170	353
326	171	352
327	171	351
328	172	351
329	172	350
330	172	349
331	173	348
332	173	347
333	173	346
334	174	345
335	174	345
336	174	344
337	175	343
338	175	342
339	176	341
340	176	340
341	176	340
342	177	339
343	177	338
344	177	337
345	178	336
346	178	336
347	179	335
348	179	335
349	180	334
350	180	333
351	180	332
352	181	332
353	181	331
354	181	330
355	182	329
356	182	328
357	183	328
358	183	327
359	183	326
360	184	326
361	184	325
362	184	324
363	185	323
364	185	323
365	186	322
366	186	321
367	186	321
368	187	320
369	187	319
370	188	318
371	188	318
372	188	317
373	189	316
374	189	316
375	190	315
376	190	314
